symbol,year,month,change,mspr
CMCSA,2019,10,-597,-0.025629478
CMCSA,2019,9,2095,95.7058
CMCSA,2019,7,-270000,-100.0
CMCSA,2019,6,-833,-100.0
CMCSA,2019,5,-2856,-100.0
CMCSA,2019,3,1008272,21.128796
CMCSA,2019,2,-285346,-8.643323
CMCSA,2019,1,-845,-100.0
CMCSA,2018,12,-4858,-9.447318
CMCSA,2018,11,14770,21.273838
CMCSA,2018,10,7559,35.66744
CMCSA,2018,9,3513,0.17805418
CMCSA,2018,6,2882,35.327286
CMCSA,2018,5,14851,31.115255
CMCSA,2018,4,34623,31.284054
CMCSA,2018,3,84637,1.9343845
CMCSA,2018,1,12201,0.8027042
CMCSA,2017,12,-262855,-14.077217
CMCSA,2017,9,-2232,-10.130719
CMCSA,2017,8,17083,26.878235
CMCSA,2017,6,2208,96.0
CMCSA,2017,5,-12298,-100.0
CMCSA,2017,3,201552,18.347261
CMCSA,2017,2,152983,10.365425
CMCSA,2017,1,19456,2.8106022
CMCSA,2016,12,-13742,-32.673927
CMCSA,2016,11,22341,21.122446
CMCSA,2016,10,11040,3.1593406
CMCSA,2016,9,-18318,-66.120415
CMCSA,2016,7,-333584,-35.419758
CMCSA,2016,6,1323,96.92308
CMCSA,2016,5,-94628,-100.0
CMCSA,2016,4,-2372,-100.0
CMCSA,2016,3,107445,14.489851
CMCSA,2016,2,229877,17.12174
CMCSA,2016,1,62452,42.161404
CMCSA,2015,12,1530,10.433715
CMCSA,2015,11,4530,26.500526
CMCSA,2015,10,-137616,-100.0
CMCSA,2015,9,1519,97.30942
CMCSA,2015,6,-89755,-4.2784705
CMCSA,2015,5,-57026,-100.0
CMCSA,2015,4,50708,8.548991
CMCSA,2015,3,429683,15.325236
CMCSA,2015,2,-285297,-14.614719
CMCSA,2015,1,362070,60.917217
CMCSA,2014,12,-1604,-0.5435188
CMCSA,2014,11,-76283,-13.310893
CMCSA,2014,10,-4155,-1.853628
CMCSA,2014,9,1611,97.577225
